task_id,he_task_id,trial_index,latency_ms,correct,pass_count,total_tests,http_status,timestamp
HumanEval_135,HumanEval/135,0,1126.17,True,5,5,200,2026-07-25T12:58:02.108268+00:00
HumanEval_136,HumanEval/136,0,518.29,False,0,11,200,2026-07-25T12:58:23.955414+00:00
HumanEval_137,HumanEval/137,0,487.11,True,8,8,200,2026-07-25T12:58:41.293020+00:00
HumanEval_138,HumanEval/138,0,493.28,False,6,8,200,2026-07-25T12:58:58.046955+00:00
HumanEval_139,HumanEval/139,0,535.51,False,0,4,200,2026-07-25T12:59:09.124796+00:00
HumanEval_140,HumanEval/140,0,469.12,False,0,5,200,2026-07-25T12:59:21.698657+00:00
HumanEval_141,HumanEval/141,0,395.7,False,13,26,200,2026-07-25T13:00:06.593976+00:00
HumanEval_142,HumanEval/142,0,490.22,False,3,11,200,2026-07-25T13:00:27.918924+00:00
HumanEval_143,HumanEval/143,0,11877.54,False,0,7,500,2026-07-25T13:02:00.471094+00:00
HumanEval_144,HumanEval/144,0,15502.09,False,0,13,200,2026-07-25T13:02:40.970027+00:00
HumanEval_145,HumanEval/145,0,7614.28,False,1,6,200,2026-07-25T13:03:02.552577+00:00
HumanEval_146,HumanEval/146,0,5117.65,False,0,7,500,2026-07-25T13:03:49.660962+00:00
HumanEval_147,HumanEval/147,0,7374.52,False,0,4,500,2026-07-25T13:04:14.695144+00:00
HumanEval_148,HumanEval/148,0,7648.36,False,0,3,200,2026-07-25T13:04:31.197416+00:00
HumanEval_149,HumanEval/149,0,12386.92,False,0,7,500,2026-07-25T13:06:10.489678+00:00
HumanEval_150,HumanEval/150,0,4479.15,False,0,10,500,2026-07-25T13:07:13.657072+00:00
HumanEval_151,HumanEval/151,0,4700.42,False,0,6,500,2026-07-25T13:07:54.736182+00:00
HumanEval_152,HumanEval/152,0,7652.16,False,0,4,200,2026-07-25T13:08:12.901380+00:00
HumanEval_153,HumanEval/153,0,8687.82,True,9,9,200,2026-07-25T13:08:39.688334+00:00
HumanEval_154,HumanEval/154,0,7866.08,False,0,6,200,2026-07-25T13:09:01.284380+00:00
HumanEval_155,HumanEval/155,0,7869.33,False,0,8,200,2026-07-25T13:09:27.407543+00:00
HumanEval_156,HumanEval/156,0,7650.76,True,14,14,200,2026-07-25T13:10:01.295925+00:00
HumanEval_157,HumanEval/157,0,7346.85,False,9,11,200,2026-07-25T13:10:29.998785+00:00
HumanEval_159,HumanEval/159,0,7677.08,False,0,6,200,2026-07-25T13:10:51.248394+00:00
HumanEval_160,HumanEval/160,0,7776.33,False,1,3,200,2026-07-25T13:11:08.260095+00:00
HumanEval_161,HumanEval/161,0,5613.73,False,2,8,200,2026-07-25T13:11:30.886770+00:00
HumanEval_162,HumanEval/162,0,5051.92,False,3,4,200,2026-07-25T13:11:46.599989+00:00
HumanEval_163,HumanEval/163,0,4650.06,False,0,4,500,2026-07-25T13:12:14.615984+00:00
