task_id,he_task_id,trial_index,latency_ms,correct,pass_count,total_tests,http_status,timestamp
HumanEval_100,HumanEval/100,0,757.24,False,0,5,200,2026-07-25T12:23:06.878201+00:00
HumanEval_101,HumanEval/101,0,582.3,True,6,6,200,2026-07-25T12:23:28.366483+00:00
HumanEval_102,HumanEval/102,0,6191.13,False,0,8,500,2026-07-25T12:24:24.084876+00:00
HumanEval_103,HumanEval/103,0,473.32,False,10,12,200,2026-07-25T12:24:48.857313+00:00
HumanEval_104,HumanEval/104,0,5319.48,False,0,4,500,2026-07-25T12:25:19.569297+00:00
HumanEval_105,HumanEval/105,0,621.29,False,0,5,200,2026-07-25T12:25:34.029271+00:00
HumanEval_106,HumanEval/106,0,493.2,False,0,4,200,2026-07-25T12:25:45.491870+00:00
HumanEval_107,HumanEval/107,0,4809.8,False,0,8,500,2026-07-25T12:26:37.711170+00:00
HumanEval_108,HumanEval/108,0,750.0,False,2,7,502,2026-07-25T12:26:53.974468+00:00
HumanEval_109,HumanEval/109,0,3340.9,False,3,5,200,2026-07-25T12:27:10.269850+00:00
HumanEval_110,HumanEval/110,0,4801.75,False,0,7,500,2026-07-25T12:27:58.094358+00:00
HumanEval_111,HumanEval/111,0,671.36,False,0,8,200,2026-07-25T12:28:15.547282+00:00
HumanEval_112,HumanEval/112,0,13471.65,False,0,9,500,2026-07-25T12:30:18.215563+00:00
HumanEval_113,HumanEval/113,0,120000,False,0,2,0,2026-07-25T12:33:38.780642+00:00
HumanEval_114,HumanEval/114,0,7619.79,False,10,12,200,2026-07-25T12:34:10.131538+00:00
HumanEval_115,HumanEval/115,0,592.61,False,0,5,200,2026-07-25T12:34:23.129742+00:00
HumanEval_116,HumanEval/116,0,541.54,False,7,8,200,2026-07-25T12:34:41.563490+00:00
HumanEval_118,HumanEval/118,0,607.05,False,0,13,200,2026-07-25T12:35:07.981102+00:00
HumanEval_119,HumanEval/119,0,19914.88,False,5,12,500,2026-07-25T12:37:56.370173+00:00
HumanEval_120,HumanEval/120,0,8752.41,True,11,11,200,2026-07-25T12:38:26.833299+00:00
HumanEval_121,HumanEval/121,0,7276.95,True,7,7,200,2026-07-25T12:38:49.994745+00:00
HumanEval_122,HumanEval/122,0,7052.52,False,3,5,200,2026-07-25T12:39:09.390858+00:00
HumanEval_123,HumanEval/123,0,4706.42,False,0,4,200,2026-07-25T12:39:24.653697+00:00
HumanEval_124,HumanEval/124,0,8968.38,False,15,16,200,2026-07-25T12:40:04.292023+00:00
HumanEval_125,HumanEval/125,0,5094.15,False,2,8,200,2026-07-25T12:40:27.249003+00:00
HumanEval_126,HumanEval/126,0,7692.73,False,5,13,200,2026-07-25T12:41:00.575990+00:00
HumanEval_127,HumanEval/127,0,969.42,False,0,8,200,2026-07-25T12:41:19.603051+00:00
HumanEval_128,HumanEval/128,0,7589.22,False,6,8,200,2026-07-25T12:41:43.683145+00:00
HumanEval_129,HumanEval/129,0,7556.62,False,6,11,200,2026-07-25T12:42:31.754295+00:00
HumanEval_130,HumanEval/130,0,7189.18,False,0,10,200,2026-07-25T12:42:59.395645+00:00
HumanEval_131,HumanEval/131,0,4288.91,False,1,7,200,2026-07-25T12:43:18.951670+00:00
HumanEval_132,HumanEval/132,0,7728.27,False,11,14,200,2026-07-25T12:43:52.857741+00:00
HumanEval_133,HumanEval/133,0,7596.1,False,0,12,200,2026-07-25T12:44:23.634064+00:00
HumanEval_134,HumanEval/134,0,14054.32,False,8,10,200,2026-07-25T12:44:58.252413+00:00
HumanEval_135,HumanEval/135,0,8039.01,True,5,5,200,2026-07-25T12:45:19.648165+00:00
HumanEval_136,HumanEval/136,0,7767.49,False,0,11,200,2026-07-25T12:45:49.758303+00:00
HumanEval_137,HumanEval/137,0,7860.36,True,8,8,200,2026-07-25T12:46:15.768604+00:00
HumanEval_138,HumanEval/138,0,4491.21,False,6,8,200,2026-07-25T12:46:38.698554+00:00
HumanEval_139,HumanEval/139,0,5419.77,False,0,4,200,2026-07-25T12:46:54.987949+00:00
HumanEval_140,HumanEval/140,0,8027.24,False,0,5,200,2026-07-25T12:47:15.699157+00:00
HumanEval_141,HumanEval/141,0,7892.93,False,13,26,200,2026-07-25T12:48:12.610443+00:00
HumanEval_142,HumanEval/142,0,583.55,False,3,11,200,2026-07-25T12:48:36.056232+00:00
HumanEval_143,HumanEval/143,0,10739.32,False,0,7,500,2026-07-25T12:49:52.245012+00:00
