task_id,he_task_id,trial_index,latency_ms,correct,pass_count,total_tests,http_status,timestamp
HumanEval_0,HumanEval/0,0,616.46,True,7,7,200,2026-07-25T11:07:55.028549+00:00
HumanEval_1,HumanEval/1,0,501.34,True,1,1,200,2026-07-25T11:08:01.537809+00:00
HumanEval_2,HumanEval/2,0,4946.46,False,0,1,500,2026-07-25T11:08:12.491810+00:00
HumanEval_3,HumanEval/3,0,480.85,True,6,6,200,2026-07-25T11:08:26.361965+00:00
HumanEval_5,HumanEval/5,0,496.55,True,3,3,200,2026-07-25T11:08:35.989363+00:00
HumanEval_6,HumanEval/6,0,497.2,True,3,3,200,2026-07-25T11:08:45.408818+00:00
HumanEval_7,HumanEval/7,0,498.19,True,4,4,200,2026-07-25T11:08:56.671417+00:00
HumanEval_8,HumanEval/8,0,495.32,False,0,4,200,2026-07-25T11:09:07.983521+00:00
HumanEval_9,HumanEval/9,0,891.54,True,4,4,200,2026-07-25T11:09:19.789264+00:00
HumanEval_10,HumanEval/10,0,4727.16,False,3,5,200,2026-07-25T11:09:36.879785+00:00
HumanEval_11,HumanEval/11,0,7413.82,True,3,3,200,2026-07-25T11:09:53.494247+00:00
HumanEval_12,HumanEval/12,0,6602.71,True,3,3,200,2026-07-25T11:10:10.301021+00:00
HumanEval_13,HumanEval/13,0,18408.57,False,0,4,500,2026-07-25T11:11:32.124041+00:00
HumanEval_14,HumanEval/14,0,7245.42,False,0,3,200,2026-07-25T11:11:48.483356+00:00
HumanEval_15,HumanEval/15,0,6755.2,True,3,3,200,2026-07-25T11:12:04.293098+00:00
HumanEval_16,HumanEval/16,0,6982.34,True,4,4,200,2026-07-25T11:12:21.893605+00:00
HumanEval_17,HumanEval/17,0,7384.75,True,5,5,200,2026-07-25T11:12:41.691777+00:00
HumanEval_18,HumanEval/18,0,7382.1,True,4,4,200,2026-07-25T11:12:59.690752+00:00
HumanEval_19,HumanEval/19,0,7286.0,True,5,5,200,2026-07-25T11:13:19.597659+00:00
HumanEval_20,HumanEval/20,0,7285.03,False,0,5,200,2026-07-25T11:13:39.187942+00:00
HumanEval_21,HumanEval/21,0,7468.47,True,5,5,200,2026-07-25T11:13:58.958716+00:00
HumanEval_22,HumanEval/22,0,6822.26,True,3,3,200,2026-07-25T11:14:14.684884+00:00
HumanEval_23,HumanEval/23,0,6907.5,True,3,3,200,2026-07-25T11:14:30.696299+00:00
HumanEval_24,HumanEval/24,0,4086.74,False,0,5,200,2026-07-25T11:14:46.869748+00:00
HumanEval_25,HumanEval/25,0,4401.15,False,0,3,200,2026-07-25T11:15:01.569526+00:00
HumanEval_26,HumanEval/26,0,8010.82,True,3,3,200,2026-07-25T11:15:18.477705+00:00
HumanEval_27,HumanEval/27,0,7405.53,True,3,3,200,2026-07-25T11:15:34.910762+00:00
HumanEval_28,HumanEval/28,0,6742.2,True,3,3,200,2026-07-25T11:15:50.692166+00:00
HumanEval_29,HumanEval/29,0,7098.93,True,2,2,200,2026-07-25T11:16:05.324038+00:00
HumanEval_30,HumanEval/30,0,6867.06,True,4,4,200,2026-07-25T11:16:22.690271+00:00
HumanEval_31,HumanEval/31,0,473.13,True,10,10,200,2026-07-25T11:16:42.876652+00:00
