condition,task_id,category,difficulty,workflow,trial_index,latency_ms,correct,confidence,coverage_pct,repair_iterations,cache_status,http_status,error_type,timestamp
A5_rest,is_prime,Numerical and Mathematical,Easy,run,0,509.76,True,,,0,,200,,2026-07-25T10:36:38.474143+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,1,553.95,True,,,0,,200,,2026-07-25T10:36:40.030908+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,2,712.52,True,,,0,,200,,2026-07-25T10:36:41.749436+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,3,445.32,True,,,0,,200,,2026-07-25T10:36:43.198279+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,4,760.23,True,,,0,,200,,2026-07-25T10:36:44.963893+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,5,679.39,True,,,0,,200,,2026-07-25T10:36:46.649002+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,6,558.34,True,,,0,,200,,2026-07-25T10:36:48.210974+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,7,528.6,True,,,0,,200,,2026-07-25T10:36:49.743193+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,8,495.9,True,,,0,,200,,2026-07-25T10:36:51.242043+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,9,566.04,True,,,0,,200,,2026-07-25T10:36:52.811837+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,10,635.79,True,,,0,,200,,2026-07-25T10:36:54.450116+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,11,488.54,True,,,0,,200,,2026-07-25T10:36:55.942452+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,12,595.45,True,,,0,,200,,2026-07-25T10:36:57.539413+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,13,519.69,True,,,0,,200,,2026-07-25T10:36:59.064228+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,14,1572.84,True,,,0,,200,,2026-07-25T10:37:01.643421+00:00
A5_rest,is_prime,Numerical and Mathematical,Easy,run,15,493.52,True,,,0,,200,,2026-07-25T10:37:03.139043+00:00
