task_id,he_task_id,trial_index,latency_ms,correct,pass_count,total_tests,http_status,timestamp
HumanEval_100,HumanEval/100,0,693.12,False,0,5,200,2026-07-25T12:16:20.185240+00:00
HumanEval_101,HumanEval/101,0,902.5,True,6,6,200,2026-07-25T12:16:35.593470+00:00
HumanEval_102,HumanEval/102,0,6790.61,False,0,8,500,2026-07-25T12:17:12.794135+00:00
HumanEval_103,HumanEval/103,0,592.45,False,10,12,200,2026-07-25T12:17:37.645024+00:00
HumanEval_104,HumanEval/104,0,4052.93,False,0,4,500,2026-07-25T12:17:55.499671+00:00
HumanEval_105,HumanEval/105,0,466.22,False,0,5,200,2026-07-25T12:18:09.443700+00:00
HumanEval_106,HumanEval/106,0,551.96,False,0,4,200,2026-07-25T12:18:20.353287+00:00
HumanEval_107,HumanEval/107,0,1620.81,False,0,8,500,2026-07-25T12:18:46.190070+00:00
HumanEval_108,HumanEval/108,0,672.97,False,3,7,200,2026-07-25T12:19:01.996467+00:00
HumanEval_109,HumanEval/109,0,592.32,False,3,5,200,2026-07-25T12:19:14.930795+00:00
HumanEval_110,HumanEval/110,0,1751.1,False,0,7,500,2026-07-25T12:19:44.625720+00:00
HumanEval_111,HumanEval/111,0,559.36,False,0,8,200,2026-07-25T12:20:06.891871+00:00
HumanEval_112,HumanEval/112,0,3147.49,False,0,9,500,2026-07-25T12:21:35.319142+00:00
HumanEval_113,HumanEval/113,0,1726.05,False,0,2,500,2026-07-25T12:21:45.540290+00:00
HumanEval_114,HumanEval/114,0,920.03,False,0,12,500,2026-07-25T12:22:15.271464+00:00
HumanEval_115,HumanEval/115,0,886.52,False,0,5,500,2026-07-25T12:22:37.771291+00:00
